,N,Delta,Alpha
0,50,0.5,0.0
1,50,0.5005005005005005,0.0
2,50,0.501001001001001,0.0
3,50,0.5015015015015015,0.0
4,50,0.502002002002002,0.0
5,50,0.5025025025025025,0.0
6,50,0.503003003003003,0.0
7,50,0.5035035035035035,0.0
8,50,0.504004004004004,0.0
9,50,0.5045045045045045,0.0
10,50,0.505005005005005,0.0
11,50,0.5055055055055055,0.0
12,50,0.506006006006006,0.0
13,50,0.5065065065065065,0.0
14,50,0.507007007007007,0.0
15,50,0.5075075075075075,0.0
16,50,0.508008008008008,0.0
17,50,0.5085085085085085,0.0
18,50,0.509009009009009,0.0
19,50,0.5095095095095095,0.0
20,50,0.51001001001001,0.0010000000000000009
21,50,0.5105105105105106,0.0
22,50,0.511011011011011,0.0010000000000000009
23,50,0.5115115115115115,0.0
24,50,0.512012012012012,0.0
25,50,0.5125125125125125,0.0
26,50,0.513013013013013,0.0
27,50,0.5135135135135135,0.0
28,50,0.514014014014014,0.0010000000000000009
29,50,0.5145145145145145,0.0
30,50,0.515015015015015,0.0
31,50,0.5155155155155156,0.0010000000000000009
32,50,0.516016016016016,0.0
33,50,0.5165165165165165,0.0
34,50,0.517017017017017,0.0
35,50,0.5175175175175175,0.0010000000000000009
36,50,0.5180180180180181,0.0
37,50,0.5185185185185185,0.0
38,50,0.519019019019019,0.0010000000000000009
39,50,0.5195195195195195,0.0010000000000000009
40,50,0.52002002002002,0.0
41,50,0.5205205205205206,0.0
42,50,0.521021021021021,0.0010000000000000009
43,50,0.5215215215215215,0.0
44,50,0.522022022022022,0.0
45,50,0.5225225225225225,0.0
46,50,0.5230230230230231,0.0
47,50,0.5235235235235235,0.0
48,50,0.524024024024024,0.0010000000000000009
49,50,0.5245245245245245,0.0
50,50,0.525025025025025,0.0
51,50,0.5255255255255256,0.0
52,50,0.526026026026026,0.0
53,50,0.5265265265265265,0.0
54,50,0.527027027027027,0.0010000000000000009
55,50,0.5275275275275275,0.0010000000000000009
56,50,0.5280280280280281,0.0
57,50,0.5285285285285285,0.0010000000000000009
58,50,0.529029029029029,0.0
59,50,0.5295295295295295,0.0
60,50,0.53003003003003,0.0
61,50,0.5305305305305306,0.0010000000000000009
62,50,0.531031031031031,0.0
63,50,0.5315315315315315,0.0
64,50,0.532032032032032,0.0010000000000000009
65,50,0.5325325325325325,0.0
66,50,0.5330330330330331,0.0
67,50,0.5335335335335335,0.0
68,50,0.534034034034034,0.0
69,50,0.5345345345345345,0.0
70,50,0.535035035035035,0.0
71,50,0.5355355355355356,0.0010000000000000009
72,50,0.536036036036036,0.0
73,50,0.5365365365365365,0.0
74,50,0.537037037037037,0.0010000000000000009
75,50,0.5375375375375375,0.0
