N,delta,alpha
1,0.94984984985,0.950115
1,0.94994994995,0.950105
1,0.95005005005,0.950314
1,0.95015015015,0.950406
1,0.95025025025,0.950617
1,0.95035035035,0.950217
1,0.95045045045,0.950603
1,0.950550550551,0.950287
1,0.950650650651,0.950783
1,0.950750750751,0.950563
1,0.950850850851,0.951169
1,0.950950950951,0.950437
1,0.951051051051,0.951078
1,0.951151151151,0.951129
1,0.951251251251,0.951335
1,0.951351351351,0.951307
1,0.951451451451,0.951731
1,0.951551551552,0.9514
1,0.951651651652,0.951509
1,0.951751751752,0.951824
1,0.951851851852,0.951987
1,0.951951951952,0.952145
1,0.952052052052,0.951992
1,0.952152152152,0.952183
1,0.952252252252,0.952032
1,0.952352352352,0.952316
1,0.952452452452,0.9522889999999999
1,0.952552552553,0.952773
1,0.952652652653,0.952551
1,0.952752752753,0.952859
1,0.952852852853,0.952806
1,0.952952952953,0.952746
1,0.953053053053,0.952925
1,0.953153153153,0.953087
1,0.953253253253,0.953252
1,0.953353353353,0.953227
1,0.953453453453,0.953514
1,0.953553553554,0.9534279999999999
1,0.953653653654,0.954023
1,0.953753753754,0.953385
1,0.953853853854,0.953601
1,0.953953953954,0.954276
1,0.954054054054,0.954082
1,0.954154154154,0.954002
1,0.954254254254,0.9539880000000001
1,0.954354354354,0.954349
1,0.954454454454,0.954475
1,0.954554554555,0.954747
1,0.954654654655,0.954655
1,0.954754754755,0.955008
1,0.954854854855,0.954916
1,0.954954954955,0.954922
1,0.955055055055,0.955215
1,0.955155155155,0.955205
1,0.955255255255,0.955229
1,0.955355355355,0.955545
1,0.955455455455,0.955344
1,0.955555555556,0.955339
1,0.955655655656,0.95543
1,0.955755755756,0.955752
1,0.955855855856,0.955919
1,0.955955955956,0.955891
1,0.956056056056,0.955661
1,0.956156156156,0.956167
1,0.956256256256,0.956297
1,0.956356356356,0.956045
1,0.956456456456,0.95629
1,0.956556556557,0.956781
1,0.956656656657,0.956816
1,0.956756756757,0.956678
1,0.956856856857,0.956948
1,0.956956956957,0.956725
1,0.957057057057,0.956558
1,0.957157157157,0.957385
1,0.957257257257,0.9575899999999999
1,0.957357357357,0.957328
1,0.957457457457,0.957507
1,0.957557557558,0.957236
1,0.957657657658,0.957559
1,0.957757757758,0.957656
1,0.957857857858,0.957857
1,0.957957957958,0.958185
1,0.958058058058,0.9578180000000001
1,0.958158158158,0.958124
1,0.958258258258,0.958334
1,0.958358358358,0.958516
1,0.958458458458,0.958484
1,0.958558558559,0.958598
1,0.958658658659,0.958731
1,0.958758758759,0.959107
1,0.958858858859,0.958784
1,0.958958958959,0.958712
1,0.959059059059,0.959242
1,0.959159159159,0.959047
1,0.959259259259,0.9593119999999999
1,0.959359359359,0.959549
1,0.959459459459,0.95941
1,0.95955955956,0.959454
1,0.95965965966,0.959194
1,0.95975975976,0.959807
1,0.95985985986,0.960128
1,0.95995995996,0.960007
1,0.96006006006,0.9599260000000001
1,0.96016016016,0.960232
1,0.96026026026,0.959931
1,0.96036036036,0.960442
1,0.96046046046,0.960355
1,0.960560560561,0.960773
1,0.960660660661,0.960493
1,0.960760760761,0.960764
1,0.960860860861,0.960786
1,0.960960960961,0.960854
1,0.961061061061,0.960991
1,0.961161161161,0.961193
1,0.961261261261,0.961327
1,0.961361361361,0.961294
1,0.961461461461,0.961406
1,0.961561561562,0.961939
1,0.961661661662,0.961365
1,0.961761761762,0.96182
1,0.961861861862,0.962159
1,0.961961961962,0.962014
1,0.962062062062,0.96185
1,0.962162162162,0.962128
1,0.962262262262,0.962029
1,0.962362362362,0.962269
1,0.962462462462,0.962715
1,0.962562562563,0.962648
1,0.962662662663,0.963007
1,0.962762762763,0.962885
1,0.962862862863,0.962931
1,0.962962962963,0.962702
1,0.963063063063,0.963209
1,0.963163163163,0.963178
1,0.963263263263,0.963153
1,0.963363363363,0.963071
1,0.963463463463,0.963381
1,0.963563563564,0.963395
1,0.963663663664,0.963461
1,0.963763763764,0.963806
1,0.963863863864,0.963882
1,0.963963963964,0.963942
1,0.964064064064,0.964141
1,0.964164164164,0.964101
1,0.964264264264,0.964232
1,0.964364364364,0.964148
1,0.964464464464,0.964322
1,0.964564564565,0.964464
1,0.964664664665,0.964773
1,0.964764764765,0.964958
1,0.964864864865,0.964947
1,0.964964964965,0.964789
1,0.965065065065,0.964767
1,0.965165165165,0.965468
1,0.965265265265,0.965314
1,0.965365365365,0.965305
1,0.965465465465,0.965246
1,0.965565565566,0.965822
1,0.965665665666,0.965672
1,0.965765765766,0.965958
1,0.965865865866,0.965852
1,0.965965965966,0.966192
1,0.966066066066,0.965734
1,0.966166166166,0.966149
1,0.966266266266,0.966329
1,0.966366366366,0.966227
1,0.966466466466,0.966634
1,0.966566566567,0.96676
1,0.966666666667,0.966614
1,0.966766766767,0.966716
1,0.966866866867,0.966959
1,0.966966966967,0.967168
1,0.967067067067,0.967387
1,0.967167167167,0.967236
1,0.967267267267,0.967353
1,0.967367367367,0.967603
1,0.967467467467,0.967414
1,0.967567567568,0.967534
1,0.967667667668,0.967662
1,0.967767767768,0.967867
1,0.967867867868,0.967945
1,0.967967967968,0.967999
1,0.968068068068,0.967894
1,0.968168168168,0.968127
1,0.968268268268,0.968343
1,0.968368368368,0.968485
1,0.968468468468,0.968409
1,0.968568568569,0.968672
1,0.968668668669,0.96868
1,0.968768768769,0.968747
1,0.968868868869,0.968801
1,0.968968968969,0.968753
1,0.969069069069,0.968768
1,0.969169169169,0.969122
1,0.969269269269,0.96894
1,0.969369369369,0.969262
1,0.969469469469,0.969408
1,0.96956956957,0.969838
1,0.96966966967,0.969751
1,0.96976976977,0.969803
1,0.96986986987,0.969674
1,0.96996996997,0.970196
1,0.97007007007,0.970074
1,0.97017017017,0.970246
1,0.97027027027,0.97022
1,0.97037037037,0.9704699999999999
1,0.97047047047,0.970558
1,0.970570570571,0.970535
1,0.970670670671,0.970827
1,0.970770770771,0.970566
1,0.970870870871,0.970955
1,0.970970970971,0.970741
1,0.971071071071,0.971277
1,0.971171171171,0.971267
1,0.971271271271,0.971394
1,0.971371371371,0.971336
1,0.971471471471,0.971276
1,0.971571571572,0.971642
1,0.971671671672,0.971822
1,0.971771771772,0.971897
1,0.971871871872,0.971617
1,0.971971971972,0.972121
1,0.972072072072,0.972309
1,0.972172172172,0.97221
1,0.972272272272,0.972547
1,0.972372372372,0.97239
1,0.972472472472,0.97249
1,0.972572572573,0.972536
1,0.972672672673,0.972572
1,0.972772772773,0.972624
1,0.972872872873,0.972373
1,0.972972972973,0.972912
1,0.973073073073,0.973121
1,0.973173173173,0.973482
1,0.973273273273,0.973178
1,0.973373373373,0.973334
1,0.973473473473,0.973475
1,0.973573573574,0.973515
1,0.973673673674,0.973619
1,0.973773773774,0.973993
1,0.973873873874,0.973713
1,0.973973973974,0.974005
1,0.974074074074,0.973844
1,0.974174174174,0.974129
1,0.974274274274,0.974122
1,0.974374374374,0.973962
1,0.974474474474,0.974248
1,0.974574574575,0.974832
1,0.974674674675,0.974604
1,0.974774774775,0.974631
1,0.974874874875,0.974848
1,0.974974974975,0.975022
1,0.975075075075,0.975038
1,0.975175175175,0.975219
1,0.975275275275,0.975202
1,0.975375375375,0.975642
1,0.975475475475,0.975202
1,0.975575575576,0.975511
1,0.975675675676,0.975643
1,0.975775775776,0.975712
1,0.975875875876,0.975987
1,0.975975975976,0.975843
1,0.976076076076,0.976064
1,0.976176176176,0.976216
1,0.976276276276,0.976075
1,0.976376376376,0.976405
1,0.976476476476,0.976538
1,0.976576576577,0.976857
1,0.976676676677,0.976809
1,0.976776776777,0.97662
1,0.976876876877,0.976984
1,0.976976976977,0.976881
1,0.977077077077,0.977108
1,0.977177177177,0.977162
1,0.977277277277,0.977207
1,0.977377377377,0.977364
1,0.977477477477,0.977518
1,0.977577577578,0.977705
1,0.977677677678,0.977784
1,0.977777777778,0.977779
1,0.977877877878,0.977971
1,0.977977977978,0.977991
1,0.978078078078,0.978203
1,0.978178178178,0.978002
1,0.978278278278,0.97822
1,0.978378378378,0.978453
1,0.978478478478,0.978724
1,0.978578578579,0.978579
1,0.978678678679,0.9787399999999999
1,0.978778778779,0.978928
1,0.978878878879,0.97883
1,0.978978978979,0.978756
1,0.979079079079,0.979184
1,0.979179179179,0.979421
1,0.979279279279,0.979203
1,0.979379379379,0.979472
1,0.979479479479,0.979459
1,0.97957957958,0.979728
1,0.97967967968,0.979806
1,0.97977977978,0.979904
1,0.97987987988,0.979758
1,0.97997997998,0.98002
1,0.98008008008,0.980181
1,0.98018018018,0.98038
1,0.98028028028,0.98037
